CreatedAt,Users,ProductName,Price,Quantity,TotalPrice
2001-12-21,19,Aroma Essence,80.69999999999973,10,806.9999999999973
2001-12-29,7,Perfumed Poetry,94.09999999999968,22,2070.199999999993
2001-12-05,2,Scented Delight,18.49999999999995,17,314.49999999999915
2001-12-16,16,Scent Haven,15.199999999999964,24,364.79999999999916
2001-12-25,8,Fresh Petals,90.7999999999997,22,1997.5999999999933
2001-12-27,15,Fresh Petals,7.599999999999991,14,106.39999999999986
2001-12-30,18,Starlight Dreams,28.599999999999916,9,257.39999999999924
2001-12-16,12,Perfumed Poetry,24.699999999999932,20,493.99999999999864
2001-12-19,2,Starlight Dreams,20.399999999999945,15,305.9999999999992
2001-12-19,1,Scented Delight,14.899999999999965,16,238.39999999999944
2001-12-03,15,Pure Bliss,62.7999999999998,13,816.3999999999974
2001-12-09,12,Scent Haven,47.69999999999985,3,143.09999999999954
2001-12-02,9,Fresh Blend,17.599999999999955,23,404.799999999999
2001-12-16,9,Starlight Dreams,42.29999999999987,27,1142.0999999999965
2001-12-27,4,Scented Delight,75.49999999999974,28,2113.9999999999927
2001-12-12,13,Scent Haven,38.89999999999988,17,661.2999999999979
2001-12-23,5,Scented Delight,80.49999999999973,23,1851.4999999999939
2001-12-19,17,Starlight Dreams,71.29999999999977,24,1711.1999999999944
2001-12-26,12,Flower Power,52.299999999999834,13,679.8999999999978
2001-12-30,17,Fresh Petals,69.69999999999978,16,1115.1999999999964
2001-12-14,12,Pure Bliss,19.19999999999995,21,403.19999999999897
2001-12-28,14,Fresh Blend,7.69999999999999,26,200.19999999999976
2001-12-23,5,Fresh Blend,90.2999999999997,20,1805.999999999994
2001-12-13,20,Aroma Essence,97.49999999999967,4,389.9999999999987
2001-12-19,4,Aroma Essence,43.399999999999864,5,216.99999999999932
2001-12-04,10,Aroma Essence,38.49999999999988,11,423.4999999999987
2001-12-29,4,Starlight Dreams,82.59999999999972,21,1734.5999999999942
2001-12-21,2,Whiff of Bliss,37.399999999999885,25,934.9999999999972
2001-12-24,14,Aroma Essence,12.399999999999974,27,334.7999999999993
2001-12-08,16,Aroma Essence,9.599999999999984,7,67.19999999999989
2001-12-16,6,Whiff of Bliss,64.49999999999979,28,1805.999999999994
2001-12-20,8,Fresh Blend,23.899999999999935,4,95.59999999999974
2001-12-02,4,Flower Power,52.299999999999834,7,366.09999999999883
2001-12-11,15,Scent Haven,82.79999999999973,9,745.1999999999975
2001-12-18,7,Flower Power,87.39999999999971,12,1048.7999999999965
2001-12-18,13,Whiff of Bliss,15.899999999999961,28,445.1999999999989
2001-12-23,4,Aroma Essence,27.499999999999922,20,549.9999999999984
2001-12-16,11,Whiff of Bliss,65.0999999999998,29,1887.8999999999942
2001-12-01,3,Aroma Essence,35.39999999999989,16,566.3999999999983
2001-12-06,15,Aroma Essence,55.19999999999982,9,496.79999999999836
2001-12-01,10,Fresh Petals,31.699999999999903,14,443.79999999999865
2001-12-17,5,Aroma Essence,25.299999999999926,25,632.4999999999982
2001-12-04,3,Aroma Essence,86.89999999999971,23,1998.6999999999932
2001-12-20,1,Fresh Blend,16.899999999999956,4,67.59999999999982
2001-12-05,11,Scented Delight,89.6999999999997,29,2601.2999999999915
2001-12-16,15,Perfumed Poetry,93.99999999999969,13,1221.999999999996
2001-12-13,6,Flower Power,90.4999999999997,4,361.9999999999988
2001-12-12,6,Perfumed Poetry,63.39999999999979,25,1584.9999999999948
2001-12-27,20,Fresh Blend,20.699999999999946,8,165.59999999999957
2001-12-18,11,Scented Delight,38.49999999999988,22,846.9999999999974
2001-12-08,19,Fresh Petals,52.399999999999835,12,628.799999999998
